Particle num,x,y,vx,vy,ay,ep,ek,cellRow,cellCol
16,423.834778,258.817627,21.280546,18.992228,-9.800000,0.000000,0.000000,1,2
17,507.142456,13.660231,13.643383,15.495901,-9.800000,0.000000,0.000000,0,3
18,535.429688,353.277374,20.365473,6.652366,-9.800000,0.000000,0.000000,2,3
19,15.641815,253.936752,24.448080,14.862940,-9.800000,0.000000,0.000000,1,0
20,404.007538,534.041809,26.686630,25.727449,-9.800000,0.000000,0.000000,3,2
21,416.709198,609.674255,15.112594,2.876284,-9.800000,0.000000,0.000000,3,2
22,732.344604,405.291718,24.658594,6.726176,-9.800000,0.000000,0.000000,2,4
23,84.680389,450.876862,21.296114,6.768100,-9.800000,0.000000,0.000000,2,0
24,743.885437,451.684509,18.725588,18.283712,-9.800000,0.000000,0.000000,2,4
25,103.678894,232.574371,13.234764,10.022609,-9.800000,0.000000,0.000000,1,0
26,504.840210,606.933350,4.119312,1.980709,-9.800000,0.000000,0.000000,3,3
27,691.661255,706.414978,1.119934,18.141308,-9.800000,0.000000,0.000000,4,4
28,192.898712,251.146423,9.067613,15.196079,-9.800000,0.000000,0.000000,1,1
29,300.191071,563.994263,16.996862,10.876657,-9.800000,0.000000,0.000000,3,1
30,2.876356,706.314148,5.130565,24.362049,-9.800000,0.000000,0.000000,4,0
31,334.922882,12.930492,18.233324,15.899088,-9.800000,0.000000,0.000000,0,2
32,187.424088,503.353027,23.967037,-1.735466,-9.800000,0.000000,0.000000,3,1
33,709.096558,708.640442,7.144618,3.381289,-9.800000,0.000000,0.000000,4,4
34,679.029724,748.131042,8.558654,5.536237,-9.800000,0.000000,0.000000,4,4
35,319.851318,362.060577,2.964767,3.439956,-9.800000,0.000000,0.000000,2,1
36,485.991394,700.368774,14.688220,24.948902,-9.800000,0.000000,0.000000,4,3
37,194.364426,93.207809,19.847740,-1.879144,-9.800000,0.000000,0.000000,0,1
38,107.046074,583.345947,10.381907,-0.298477,-9.800000,0.000000,0.000000,3,0
39,172.398300,220.373718,4.158546,9.915765,-9.800000,0.000000,0.000000,1,1
40,686.374268,599.306763,13.016006,12.125299,-9.800000,0.000000,0.000000,3,4
41,586.976196,142.403931,1.938629,2.879731,-9.800000,0.000000,0.000000,0,3
42,59.242485,483.760925,18.268068,11.434489,-9.800000,0.000000,0.000000,3,0
43,575.232910,777.046875,5.002633,16.877071,-9.800000,0.000000,0.000000,4,3
44,515.473633,224.617310,4.652938,7.621843,-9.800000,0.000000,0.000000,1,3
45,45.469231,144.909637,18.688051,7.556761,-9.800000,0.000000,0.000000,0,0
46,414.480194,118.437851,12.282872,-1.106615,-9.800000,0.000000,0.000000,0,2
47,564.869568,255.028046,4.704701,13.807590,-9.800000,0.000000,0.000000,1,3
48,365.718231,452.466736,10.559901,2.617069,-9.800000,0.000000,0.000000,2,2
49,269.874176,281.967712,22.979618,0.519026,-9.800000,0.000000,0.000000,1,1
50,151.714645,719.030334,14.941293,7.289948,-9.800000,0.000000,0.000000,4,0
51,686.068665,201.678513,2.572583,21.959171,-9.800000,0.000000,0.000000,1,4
52,723.865417,589.974060,23.501650,23.655720,-9.800000,0.000000,0.000000,3,4
53,456.808136,662.129333,22.605106,6.439578,-9.800000,0.000000,0.000000,4,2
